compound,concentration_mM,annealing_T,molecular_weight,C,H,Br,I,N,Hbond_donor,rotatable_bond,topPolar_area,heavy_atom,complexity,xlogP,param1_r,param2_r,xinterp_r,max_x_r,param1_g,param2_g,xinterp_g,max_x_g,date
PhAI,15,100,221.041,6,8,0,1,1,1,0,27.6,8,46.1,0.9,0.5025,-20.0077,39.8164,270.0833,0.5433,-19.0016,34.9762,270.0833,20190530
PTEAI,5,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.33024,-130.05,393.81,702.6,0.40022,-163.42,408.32,696.58,20190620
PTEAI,10,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.29595,-142.45,481.33,858.73,0.37587,-193.77,515.54,870.73,20190620
PTEAI,15,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.27637,-169.7,614.04,1056.9,0.27911,-163.92,587.28,1068.9,20190620
PTEAI,5,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.29893,-124.52,416.56,765.65,0.29438,-117.14,397.94,762.65,20190620
PTEAI,10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.32783,-204.7,624.42,990.83,0.34093,-212.51,623.32,1005.8,20190620
PTEAI,15,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.13707,-30.138,219.87,951.8,0.14356,-26.573,185.09,960.8,20190620
PTEAI,5,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.37959,-158.53,417.63,693.58,0.45415,-197.94,435.84,684.58,20190620
PTEAI,10,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.31633,-156.71,495.39,819.7,0.36694,-186.53,508.34,810.68,20190620
PTEAI,15,100,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.24501,-124.75,509.15,927.78,0.30659,-167.02,544.77,924.78,20190620
PTEAI,5,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.37347,-135.86,363.79,645.55,0.34994,-120.46,344.24,660.57,20190620
PTEAI,10,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.27415,-86.006,313.72,693.58,0.32054,-106.05,330.84,714.6,20190620
PTEAI,15,125,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.21212,-86.229,406.5,834.72,0.219,-85.445,390.17,2972.4,20190620
PTEAI,5,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.255,-111.15,435.89,831.75,0.29102,-128.32,440.92,843.75,20190911
PTEAI,10,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.15816,-112.39,710.6,1207.1,0.16607,-115.9,697.89,1207.1,20190911
PTEAI,15,50,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.17961,-110.43,614.86,1171,0.18641,-112.85,605.4,1207.1,20190911
PTEAI,5,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.23938,-96.074,401.34,804.72,0.28941,-119.18,411.8,801.72,20190911
PTEAI,10,75,305.203,12,20,0,1,1,0,4,0,14,124,2.9,0.2127,-116.46,547.54,1047.9,0.22242,-119.24,536.13,1068.9,20190911
